"pppoe_username","isolation_date"
"VINCENT@PIKDELTA","2026-07-23"
"FARAH@KESATRIAN","2026-07-24"
"SALMAN@JENGGOT","2026-07-24"
"GUNTUR@KESATRIAN","2026-07-10"
"PALUPI@TERATE","2026-07-24"
"ARUM@PG","2026-07-24"
"ALAMSYAH@PURIDELTA","2026-07-12"
"NURDIN@ANGSANA2","2026-07-23"
"DINAR@GANTERAN","2026-07-16"
"NOVITASARI@LENGKONG","2026-07-13"
"POPPY@KROYA","2026-07-09"
"LUSIANA@ANGSANA2","2026-07-12"
"VIKA@ans.net","2026-07-20"
"MUSTOFA@CIKEDUNG","2026-07-23"
"HENI@SAWAHLUHUR","2026-07-15"
"AZHARI@ans.net","2026-07-11"
"MUHAMMAD@LENGKONG","2026-07-11"
"RANDI@GANTERAN","2026-07-10"
"LITA@SUKAMANDI","2026-07-18"
"IMAM@ANGSANA","2026-07-27"
"SUHARSONO@ANGSANA2","2026-07-19"
"AGUSTINUS@KEDUNGCINDE","2026-07-23"
"SETYAWAN@SUKAMANDI","2026-07-08"
"ADITYA@CANGKRING","2026-07-08"
"HERLINA@DELTAALI","2026-07-15"
"APRILIA@BTM","2026-07-09"
"LENY@TEGALTANJUNG","2026-07-11"
"SARIF@TONJONG","2026-07-24"
"ROMLAH@BTM","2026-07-14"
"DODY@GEMPOL","2026-07-27"
"ANDIKA@PEGADINGAN","2026-07-27"
"NILA@KEBASIRAN","2026-07-17"
"PRABOWO@SQUATER","2026-07-08"
"PANJI@KEBASIRAN","2026-07-17"
"BETTY@ANGSANA2","2026-07-26"
"MIRANTI@HARMONI2","2026-07-20"
"DIAN@GIRILAYA","2026-07-21"
"FATIMAH1@PIKDELTA","2026-07-11"
"DINAR@ANGSANA","2026-07-23"
"RATIH@CILIA","2026-07-19"
"SISKA@LENGKONG","2026-07-26"
"DONI@LENGKONG","2026-07-15"
"KUMALA@DELTA","2026-07-14"
"RARA@LAMONGAN","2026-07-25"
"FAIZAH@LAMONGAN","2026-07-13"
"ERA@JENGGOT","2026-07-25"
"SAPUTRO@TONJONG","2026-07-08"
"MIKA@GIRILAYA","2026-07-14"
"ZAELANI@Pai2","2026-07-19"
"HARTATI@CABLAS","2026-07-19"
"DONI@ambon","2026-07-15"
"ARIANI@KESATRIAN","2026-07-14"
"HAFIZ@LAMONGAN","2026-07-11"
"DARMAWAN@PAMENGKANG","2026-07-15"
"DIDI@TONJONG","2026-07-17"
"YADI@KEPUH","2026-07-13"
"MIFTAHUL@GEMPOL","2026-07-08"
"NADIN@GEMPOL","2026-07-09"
"MIRANTI@SAWAHLUHUR","2026-07-21"
"HASANAH@DELTAALI","2026-07-08"
"ARIES@KEBAROSAN","2026-07-13"
"RUSYDI@PIKDELTA","2026-07-17"
"MANURUNG@CANGKRING","2026-07-20"
"ASTRI@KEBAROSAN","2026-07-13"
"ROFIQ@LENGKONG","2026-07-10"
"NYOMAN@PIKDELTA","2026-07-18"
"ANI@DELTAALI","2026-07-14"
"BUDI@KARANGANYAR","2026-07-11"
"PALUPI1@TERATE","2026-07-22"
"MARGARETHA@TONJONG","2026-07-27"
"TOPAN@GIRILAYA","2026-07-17"
"HARI@KESATRIAN","2026-07-23"
"EKAWATI@ans.net","2026-07-26"
"FEBRIANTO@CENGKOK","2026-07-12"
"ARIANSYAH@ANGSOKA","2026-07-11"
"HASIBUAN@PIKDELTA","2026-07-24"
"SHINTA@TEGALDUREN","2026-07-19"
"YUYUN@GANTERAN","2026-07-14"
"NILA1@CABLAS","2026-07-26"
"DIAN@SUKAMANDI","2026-07-10"
"RIKY@SAWAHLUHUR","2026-07-11"
"SHOLEH@HARMONI2","2026-07-25"
"IDA@PIKDELTA","2026-07-10"
"AZMI@ANGSOKA","2026-07-09"
"NUGRAHENI@ANGSANA1","2026-07-11"
"QORI@CIPUTRI","2026-07-22"
"ZAENAL@KROYA","2026-07-17"
"YUNIA@GEMPOL","2026-07-25"
"SYARIFAH@JENGGOT","2026-07-28"
"RAFEI@SQUATER","2026-07-12"
"WIGUNA@PURIDELTA","2026-07-17"
"ZAENAL@PADEK","2026-07-16"
"DYAH@KEBASIRAN","2026-07-09"
"KRISNA@ans.net","2026-07-22"
"OMAR@CENGKOK","2026-07-25"
"RENNY@KARANGANYAR","2026-07-17"
"ICHA@CIKEDUNG","2026-07-22"
"WAWAN@ans.net","2026-07-14"
"SUGENG@KESATRIAN","2026-07-14"
"RUSYDI@KASUBAN","2026-07-21"
"WINDA@KEBAROSAN","2026-07-25"
"RATIH@GIRILAYA","2026-07-09"
"AYUNINGTYAS@TEGALDUREN","2026-07-26"
"MIRZA@KROYA","2026-07-25"
"SETO@PADEK","2026-07-21"
"RISNA@CABLAS","2026-07-18"
"WULANDARI@CABLAS","2026-07-15"
"PUSPA@KESATRIAN","2026-07-22"
"CHRISTINA@KELUNCING","2026-07-10"
"PURWADI@CILIA","2026-07-26"
"YOKI@SINDANGJAYA","2026-07-21"
"ABDULLAH@TEGALDUREN","2026-07-12"
"ILHAM@ANGSANA2","2026-07-08"
"RACHMAN@TONJONG","2026-07-27"
"MULYANI@KEBASIRAN","2026-07-27"
"BAGUS@JENGGOT","2026-07-20"
"PRATOMO@ans.net","2026-07-15"
"ANGGARA@KARANGANYAR","2026-07-17"
"HERI@JAMBLANG","2026-07-11"
"LESTARI@KESATRIAN","2026-07-10"
"SATRIA@KARANGANYAR","2026-07-10"
"KURNIASIH@KARANGANYAR","2026-07-16"
"SANTI@JENGGOT","2026-07-20"
"WIDYANINGRUM@DELTAALI","2026-07-11"
"SORAYA@ans.net","2026-07-25"
"HASTUTI@KROYA","2026-07-18"
"YULIANA@TEGALTANJUNG","2026-07-20"
"CAROLINA@PIK","2026-07-25"
"OMAR@KEPUH","2026-07-11"
"DESTI@SINDANGJAYA","2026-07-22"
"SARAGIH@DELTA","2026-07-21"
"TIA@ambon","2026-07-08"
"SUPRIADI@KASUBAN","2026-07-22"
"SARIF@CENGKOK","2026-07-21"
"PUTI@KEDUNGCINDE","2026-07-19"
"SUANDI@CIKEDUNG","2026-07-25"
"YUDHA@GANTERAN","2026-07-13"
"INDRAWATI@CILIA","2026-07-08"
"ASTRI@ambon","2026-07-21"
"FEBRIANA@KALIPANGPANG","2026-07-28"
"EKA@CILIA","2026-07-15"
"HENDRI@TERATE","2026-07-18"
"AZIS@PEGADINGAN","2026-07-26"
"HARYO@TEGALTANJUNG","2026-07-18"
"GUNTUR@LENGKONG","2026-07-13"
"RIZAL@KEBASIRAN","2026-07-21"
"SANTOSO@ANGSANA2","2026-07-22"
"GERI@ANGSANA1","2026-07-24"
"YUNIAR@KEDUNGCINDE","2026-07-17"
"AGNES@PADEK","2026-07-11"
"ADY@LENGKONG","2026-07-20"
"DEWI@ANGSANA2","2026-07-21"
"DINI@LAMONGAN","2026-07-18"
